Отметка времени,What is your age group?,What is your role?,At what age did you start using a smartphone?  ,How would you describe your social media usage?  ,I feel that the content recommended to me influences my opinions or choices.  ,I often check social media without a specific reason.  ,I feel uneasy when I cannot access social media for a while.  ,I notice that my beliefs on social issues are influenced by posts I see frequently.  ,Sometimes I accept information on social media without checking other sources.  ,"I pay more attention to content that evokes strong emotions, even if it’s not informative.  ","I notice differences in the content, tone, or style of posts written in different languages (Kazakh, Russian, English) on social media.  ","I often check social media immediately after receiving a notification, even if I’m busy.  ",I find it difficult to focus on long posts or articles after spending time on social media.  ,I feel that the language of available content online affects what I watch or read.  ,Which types of content do you engage with most on social media?  ,"When you see a post you strongly disagree with, what do you usually do?  ","Have you noticed any changes in the language, topics, or tone of content you consume over the past few years? If so, what changes?  ","Do you feel that social media has influenced your attention span, memory, or way of processing information?  "
15.03.2026 11:30:45,18-40,Student,10-12,Occasional user,4,5,4,5,4,4,5,5,5,5,"Entertainment, Education, Lifestyle, Technology / AI",Ignore it,I become more global and discover news faster(like an epstein files),"Yeah, it is hard to concentrate on my work after scroling phone for 4-5h"
15.03.2026 11:40:42,18-40,Student,13-15,Moderately active user,3,2,3,3,3,5,3,3,2,5,"Education, Lifestyle, Technology / AI",Ignore it,"No, i have not","Yes, i do"
15.03.2026 11:42:30,18-40,Student,Before 10,Rarely use social media,3,3,1,1,2,1,5,2,3,2,"News / politics, Entertainment, Education, Technology / AI, Gaming",Ignore it,"Yes, I have more political content, as well as content in English.","Sometimes social media is distracting, but it hasn't affected my concentration."
15.03.2026 11:45:00,18-40,Student,10-12,Moderately active user,5,4,4,5,3,4,5,4,3,5,"Education, Lifestyle, Technology / AI",Comment to argue / debate,According to my recommendations,Yes
15.03.2026 11:47:09,18-40,Student,13-15,I do not use social media,1,1,3,1,1,1,3,1,1,1,Education,Ignore it,more ai slop and politics,i am not sure tbh
15.03.2026 12:37:27,18-40,Freelancer,13-15,I do not use social media,3,1,5,2,4,4,5,4,4,4,"Entertainment, Technology / AI",Ignore it,Idk,No
15.03.2026 12:53:51,18-40,Student,10-12,Very active user,4,5,4,4,4,4,4,4,3,3,"News / politics, Education, Lifestyle",Ignore it,"Yes, much of the content has become shorter, more visual, and focused on quick trends rather than detailed explanations.","Yes, constant short-form content has made it harder to focus on long texts and has reduced my attention span."
15.03.2026 13:06:59,18-40,Student,10-12,Moderately active user,1,4,3,3,4,4,2,2,4,4,"News / politics, Education, Lifestyle",Ignore it,no,"yes, of course"
15.03.2026 13:09:01,18-40,Student,13-15,Moderately active user,3,4,3,2,2,3,4,4,4,4,"News / politics, Entertainment, Education, Technology / AI",Ignore it,"I’ve noticed globalization as well. Most people now want to post in English or use new tools, like AI translation tools, to make their content accessible to a wider audience. The main reason for this is to make their content more inclusive and reach a larger group of people.","I think it has a negative impact. As many academic studies have proven, social media reduces attention span and time, which are really important for learning and completing tasks in person."
15.03.2026 14:00:39,18-40,Student,Before 10,Moderately active user,4,5,2,3,3,4,4,3,4,4,"Entertainment, Education, Lifestyle","Ignore it, Discuss offline","Previously, I mostly consumed content about studying, exams, and similar topics. But now that I’m already enrolled in university, I spend my time on social media watching unnecessary stuff",Yes
15.03.2026 15:12:57,18-40,Student,10-12,Moderately active user,4,3,2,4,4,3,5,1,3,4,"Entertainment, Education, Technology / AI, Gaming","Ignore it, Discuss offline",Nothing changed ,Probably yes
15.03.2026 16:41:28,18-40,Student,10-12,Moderately active user,4,2,1,5,5,3,4,4,2,3,"Entertainment, Education, Technology / AI",Comment to argue / debate,Topics are changing dynamically along with what I am curious at the current moment ,100%
15.03.2026 17:23:12,18-40,Student,16-18,Moderately active user,4,5,4,4,5,3,4,4,4,5,"Education, Lifestyle","Comment to argue / debate, Discuss offline",no,"yes, of course "
15.03.2026 17:36:34,18-40,Student,10-12,Moderately active user,4,4,3,4,4,3,3,3,3,4,"News / politics, Entertainment, Education, Lifestyle, Technology / AI, Gaming",Ignore it,"Yes, because I'm getting older and the topics that interest me change or new ones are added.","i think a bit, but not critical"
15.03.2026 17:41:34,18-40,Employee,13-15,Very active user,4,4,4,4,4,5,5,5,3,5,"Lifestyle, Gaming",Ignore it,Last years I consume content in English,"Yes, my level of attention is decrease"
15.03.2026 17:53:36,18-40,Student,Before 10,Very active user,5,5,3,2,4,5,3,5,5,4,"Entertainment, Lifestyle, Technology / AI","Ignore it, Discuss offline","Yes, there have been changes. Content has become shorter, faster, and more visual. Topics often focus on technology, social media, and global issues. The tone is usually more informal and interactive than before.","Yes, social media has influenced the way information is processed. It often encourages shorter attention spans because people get used to quick, short content. It can also affect memory, since information is consumed quickly and often forgotten just as fast."
15.03.2026 18:10:29,12-18,Student,Before 10,Moderately active user,5,5,5,5,5,5,5,5,5,5,Entertainment,Ignore it,-,yes
15.03.2026 18:32:14,18-40,Student,10-12,Very active user,3,4,3,3,4,5,2,3,3,4,"News / politics, Entertainment, Education, Lifestyle, Gaming","Ignore it, Discuss offline",people began to degenerate freely,YES
15.03.2026 18:40:16,18-40,Student,10-12,Very active user,5,5,5,3,2,5,3,5,5,5,"News / politics, Entertainment, Education, Lifestyle, Technology / AI",Ignore it,"If be honest, I still have similar taste so I don’t think that something changed after that","It’s kind of sad to admit, but I guess it’s somehow affected my way of thinking "
15.03.2026 18:41:01,18-40,Student,10-12,Occasional user,3,3,1,2,1,1,4,1,4,3,"Entertainment, Gaming",Ignore it,"I can’t say that I see any changes, because i don’t use social media much.",There is an impact.
15.03.2026 18:42:02,18-40,Student,10-12,Moderately active user,5,4,4,4,5,4,4,4,5,3,"News / politics, Entertainment, Education, Lifestyle, Technology / AI","Ignore it, Discuss offline","Yes. Content has become shorter, simpler, and more visual. People use more slang, emojis, and memes. Topics also change faster, and the tone is often more emotional or provocative to attract attention.","Yes. Social media can shorten attention spans because people get used to quick, short content. It may also reduce deep focus and make people rely more on quick searches instead of remembering information. "
15.03.2026 18:44:39,12-18,Student,Before 10,Very active user,4,3,2,3,2,2,4,3,5,4,"Education, Lifestyle, Technology / AI",Ignore it,May be tone of voice of many company changed to aggressive marketing for sales,Yes I feel 
15.03.2026 18:47:05,18-40,Student,10-12,Very active user,4,5,4,5,4,5,4,5,4,5,"Education, Technology / AI, Gaming",Discuss offline,no,no
15.03.2026 18:47:48,18-40,Student,10-12,Rarely use social media,4,5,5,3,3,5,4,5,5,3,Lifestyle,Discuss offline,No changes ,"Yaeh, I feel it "
15.03.2026 18:51:54,40-65,Enterpreneur,16-18,Occasional user,3,4,4,4,3,3,4,4,4,4,"Entertainment, Education, Lifestyle",Ignore it,.,.
15.03.2026 18:58:50,18-40,Student,10-12,Moderately active user,4,3,4,3,3,5,5,3,2,4,"Entertainment, Lifestyle, Technology / AI",Ignore it,"Yes, content has become shorter, more visual, and focused on quick information","Yes, it has made information consumption faster but sometimes reduces deep focus"
15.03.2026 19:08:52,18-40,Student,Before 10,Very active user,2,5,4,3,3,5,5,4,3,2,"Entertainment, Education, Lifestyle, Gaming",Ignore it,"The topics have shifted more toward technology, mental health, and AI, and the tone has become more informal and conversational compared to the past","It makes me more used to quickly scanning content and focusing on short, bite-sized pieces of information, which can sometimes make it harder to concentrate on longer texts or remember details for a long time"
15.03.2026 19:09:01,18-40,Unemployed,13-15,Occasional user,4,5,3,5,4,5,4,5,4,3,Entertainment,Ignore it,"Yes. Content has become shorter, more visual, and more focused on technology and social media, with a more informal tone.","Yes. Social media has made me used to shorter content, which affects attention span and the way I process information quickly."
15.03.2026 19:11:11,18-40,Student,Before 10,Very active user,5,5,5,4,4,5,3,3,3,5,"Education, Technology / AI",Ignore it,I think there is more trends and brainrots nowadays,Yes
15.03.2026 19:12:36,18-40,Student,Before 10,Very active user,5,5,5,5,5,5,5,5,5,2,"Education, Lifestyle, Technology / AI",Comment to argue / debate,yes,yes
15.03.2026 19:17:21,18-40,Student,10-12,Very active user,4,4,3,4,3,4,4,2,3,1,"Entertainment, Education, Lifestyle, Technology / AI, Gaming","Ignore it, Discuss offline",Mostly english language content; most of them are educational and entertainment,Definitely. Attention span became less and I find personally somewhat hard to focus as I reach for my form a quick dopamine release without even realizing that. It's as if I wake up from a trance when I realize that I spent already an hour doomscrolling instead of doing the things I initially needed to do or wanted to do.
15.03.2026 19:56:36,18-40,Student,Before 10,Moderately active user,4,5,4,2,3,4,4,3,4,3,"Entertainment, Gaming",Ignore it,"i think that i started like videos explaining some  online drama, which isn't good in terms of usefullnes of infornation ",i think that i am easily tired by something if prior to this i was sitting on social media 
15.03.2026 20:08:06,18-40,Student,10-12,Very active user,5,5,3,5,5,5,5,4,5,5,"News / politics, Entertainment",Ignore it,very polarized opinions,yes
15.03.2026 20:10:23,18-40,Student,Before 10,Very active user,3,5,2,4,5,4,3,2,5,4,"Entertainment, Education, Lifestyle","Ignore it, Discuss offline","The content became more black and white. People now are treated as commodity, everyone are trying to win something or someone and trying to sell themselves. High standards for partners. More english content. ",I am becoming a vegetable. I can’t focus as much as I did before. Craving for fast content. Now watch videos on 2x speed almost every time 
15.03.2026 20:10:50,18-40,Student,13-15,Moderately active user,4,4,5,4,5,3,4,3,4,4,"News / politics, Entertainment, Lifestyle, Gaming","Ignore it, Discuss offline","Over years of study in school and university, I started to notice more English content",Yes. I feel anxious when my mind is not focused on something (either work or active rest)
15.03.2026 20:18:04,18-40,Student,10-12,Very active user,5,5,5,5,5,5,5,5,5,5,"News / politics, Entertainment, Lifestyle",Ignore it,Everything has become the same and the topics as well,Yes
15.03.2026 20:21:58,18-40,Student,10-12,Moderately active user,3,2,1,2,1,1,4,2,1,3,"Entertainment, Education",Ignore it,"The overall topics haven't changed much, but short-form videos became relatively more abundant in my feed",I do not feel like it
15.03.2026 20:23:28,18-40,Student,Before 10,Moderately active user,3,4,3,3,4,3,5,3,4,4,"News / politics, Entertainment, Education",Ignore it,No,I would say that I can not concentrate as before 
15.03.2026 20:26:27,18-40,Employee,10-12,Very active user,3,4,4,3,3,4,4,4,4,4,"News / politics, Entertainment",Ignore it,"Entertainment content in Kazakh language has been developing more progressively reaching more audience (imo): IG reels, tiktok clips, memes, etc. The topics also tend to be more focused on politics due to the latest global events, but it also might be a consequence of me getting older.","Somewhat yeah, possibly in a negative way (e.g. memory, becoming ""hungry"" for social media content if no consumption)"
15.03.2026 20:39:31,18-40,Student,10-12,Very active user,4,5,2,3,4,3,4,3,5,5,"News / politics, Entertainment, Education, Lifestyle, Technology / AI","Ignore it, Discuss offline",I feel like generally people started to be more careful with the language they use,Yes for sure
15.03.2026 21:13:04,18-40,Student,10-12,Very active user,5,5,5,5,3,4,4,5,5,2,"News / politics, Entertainment, Gaming","Ignore it, Discuss offline",сильно начинаю увлекаться одной темой и обсуждаю ее,да. меньше всего запоминаю информацию которая длинная
15.03.2026 21:14:53,18-40,Student,Before 10,Moderately active user,4,5,4,5,5,4,4,5,4,4,"News / politics, Education, Lifestyle",Discuss offline,"From study tips to industrial practices in construction. 
From movie clips to memes 
From lifestyle to workout routine","Yes, overstimulated by social media"
15.03.2026 21:17:39,18-40,Employee,10-12,Very active user,4,5,4,5,5,5,4,5,4,5,"Entertainment, Education",Comment to argue / debate,-,-
15.03.2026 21:42:02,18-40,Employee,13-15,Occasional user,3,4,2,4,3,1,4,2,4,4,"Education, Lifestyle",Ignore it,"Новости стали более категоричными, поэтому перестала их читать. Из-за блокировки инстаграма в России, авторы перешли в телеграм. То есть контент стал текстовым в большей степени, а не визуальным.","Да, конечно. Поэтому максимально сокращаю количество каналов, на которые подписана. Инстраграм уже почти не открываю. В основном смотрю контент в телеграм и ютьюб, настраиваю рекомендации под тот контент, который мне интересен."
15.03.2026 22:52:55,18-40,Student,10-12,Very active user,4,4,3,2,2,3,4,3,4,3,"News / politics, Entertainment, Education, Lifestyle, Technology / AI",Ignore it,The content changed since I moved places as your location also plays a big role in your suggestions in the feed,Yes sometimes some things might be connected to a meme which is bad.
16.03.2026 0:50:03,18-40,Student,13-15,Very active user,4,3,3,2,4,4,4,5,4,4,"Entertainment, Education, Lifestyle",Ignore it,Yes,Yes
16.03.2026 1:35:15,18-40,Student,Before 10,Moderately active user,2,3,2,2,2,3,4,3,3,4,"News / politics, Entertainment, Education, Technology / AI, Gaming",Ignore it,I guess the content itself became simpler as number of users grew up by every year. It was niche and had more freedom of speech comparing to today’s content filtering and canceling culture. Topics have become simpler and the tone of them has become more radical,"Yes, and I guess not in a good way "
16.03.2026 6:05:15,18-40,Employee,After 18,Occasional user,2,1,1,2,2,3,4,1,1,3,"News / politics, Entertainment, Education, Lifestyle",Ignore it,"I would say yes, but rather I do not consume content from social media precisely because of whatever algorithm pushes for consumption. I don’t use social media much as platforms no longer show updates from the people I follow. For me, social media networks was a primary way to keep up with my friends and family. Since timelines/updates/whatever mostly push random posts from pages/accounts I do not follow, I don’t feel the need for social media. If I see a trending headline, I will check news websites for details. I only access it to check for dms and contact services that only run instagram accounts these days. In a way, I’d say that the so-called algorithm does not really reflect my interests or needs.","Not really, it didn’t. "
16.03.2026 6:08:58,18-40,Student,Before 10,Moderately active user,3,3,4,1,4,5,3,2,2,3,"News / politics, Entertainment, Education, Lifestyle, Technology / AI, Gaming",Ignore it,Content changes based on changes in my interests and hobbies as well as sense of humor changed since I grew up,Maybe at the beginning 5-10 years ago. Since then I used to it and learnt how to manage it. 
16.03.2026 10:51:23,18-40,Student,10-12,Moderately active user,3,1,3,3,3,4,5,4,2,3,"Entertainment, Lifestyle","Ignore it, Discuss offline",No,Yes
17.03.2026 21:42:28,18-40,Student,13-15,Very active user,3,4,3,4,4,2,3,5,3,3,"News / politics, Entertainment",Ignore it,"Mostly, that most of it switched to english and reflect my current hobbies based on just few opened posts","yes, my attention span is way shorter now, and it often make me question the informations in the posts"
18.03.2026 16:58:57,18-40,Student,13-15,Very active user,4,5,3,5,3,3,2,2,4,3,"News / politics, Entertainment, Education, Lifestyle",Ignore it,"Content I consume changes based on my life stage (like study-related memes during exam phases, travel-related content during phases where I'm thinking about travel, political content during times of international crises) ","Yes, sometimes I notice after scrolling social media for a while, no media is appealing to me anymore"
19.03.2026 3:24:54,18-40,Student,10-12,Moderately active user,3,5,1,2,3,2,3,5,3,3,"News / politics, Lifestyle, Technology / AI","Ignore it, Discuss offline",The content is more tailored and fitting to my beliefs. Rarely u find something wildly outside my opinion bubble,Definitely
